Date;Open;High;Low;Close;Adj Close;Volume
Apr 28, 2008;6,091.40;6,134.50;6,083.50;6,090.40;6,090.40;781,898,500
Apr 25, 2008;6,050.70;6,098.80;6,045.50;6,091.40;6,091.40;1,147,801,700
Apr 24, 2008;6,083.60;6,083.60;5,951.90;6,050.70;6,050.70;1,145,619,200
Apr 23, 2008;6,034.70;6,083.60;5,978.80;6,083.60;6,083.60;1,353,681,300
Apr 22, 2008;6,053.00;6,072.00;6,007.50;6,034.70;6,034.70;1,035,231,500
Apr 21, 2008;6,056.50;6,089.50;6,021.20;6,053.00;6,053.00;1,173,183,800
Apr 18, 2008;5,980.40;6,062.10;5,974.30;6,056.60;6,056.60;1,420,110,900
Apr 17, 2008;6,046.20;6,086.40;5,973.90;5,980.40;5,980.40;1,341,988,600
Apr 16, 2008;5,906.90;6,046.20;5,906.90;6,046.20;6,046.20;1,274,744,100
Apr 15, 2008;5,831.60;5,943.30;5,831.60;5,906.90;5,906.90;1,265,418,200
Apr 14, 2008;5,895.50;5,895.50;5,827.00;5,831.60;5,831.60;1,071,624,800
Apr 11, 2008;5,965.10;6,016.30;5,866.10;5,895.50;5,895.50;1,228,298,000
Apr 10, 2008;5,983.90;6,003.20;5,881.90;5,965.10;5,965.10;1,231,191,200
Apr 09, 2008;5,990.20;6,015.60;5,947.20;5,983.90;5,983.90;955,804,900
Apr 08, 2008;6,014.80;6,014.80;5,942.20;5,990.20;5,990.20;934,849,000
Apr 07, 2008;5,947.10;6,014.80;5,947.10;6,014.80;6,014.80;946,532,600
Apr 04, 2008;5,891.30;5,948.00;5,888.00;5,947.10;5,947.10;954,743,500
Apr 03, 2008;5,915.90;5,935.20;5,864.00;5,891.30;5,891.30;1,065,812,900
Apr 02, 2008;5,852.60;5,920.10;5,827.20;5,915.90;5,915.90;1,317,727,800
Apr 01, 2008;5,702.10;5,865.80;5,670.40;5,852.60;5,852.60;1,473,810,600
Mar 31, 2008;5,692.90;5,715.10;5,585.60;5,702.10;5,702.10;1,374,906,100
Mar 28, 2008;5,717.50;5,747.20;5,673.70;5,692.90;5,692.90;1,045,046,100
Mar 27, 2008;5,660.40;5,735.00;5,650.90;5,717.50;5,717.50;1,419,002,900
Mar 26, 2008;5,689.10;5,689.10;5,639.10;5,660.40;5,660.40;1,499,881,500
Mar 25, 2008;5,495.20;5,704.30;5,495.20;5,689.10;5,689.10;1,962,218,800
Mar 20, 2008;5,545.60;5,545.60;5,461.90;5,495.20;5,495.20;2,137,214,900
Mar 19, 2008;5,605.80;5,653.60;5,524.80;5,545.60;5,545.60;2,127,270,700
Mar 18, 2008;5,414.40;5,610.00;5,414.40;5,605.80;5,605.80;1,660,294,700
Mar 17, 2008;5,631.70;5,631.70;5,414.40;5,414.40;5,414.40;2,058,764,200
Mar 14, 2008;5,692.40;5,782.00;5,595.80;5,631.70;5,631.70;1,551,275,000
Mar 13, 2008;5,776.40;5,776.40;5,628.90;5,692.40;5,692.40;1,628,702,300
Mar 12, 2008;5,690.40;5,812.70;5,690.40;5,776.40;5,776.40;1,421,371,500
Mar 11, 2008;5,629.10;5,783.40;5,629.10;5,690.40;5,690.40;1,752,461,600
Mar 10, 2008;5,699.90;5,718.80;5,616.60;5,629.10;5,629.10;1,311,044,000
Mar 07, 2008;5,766.40;5,766.40;5,655.70;5,699.90;5,699.90;1,553,543,800
Mar 06, 2008;5,853.50;5,871.10;5,753.10;5,766.40;5,766.40;1,223,869,700
Mar 05, 2008;5,767.70;5,860.50;5,763.90;5,853.50;5,853.50;1,416,583,700
Mar 04, 2008;5,818.60;5,872.90;5,719.80;5,767.70;5,767.70;1,555,756,600
Mar 03, 2008;5,884.30;5,884.30;5,770.10;5,818.60;5,818.60;1,519,244,300
Feb 29, 2008;5,965.70;5,986.20;5,859.30;5,884.30;5,884.30;1,557,177,300
Feb 28, 2008;6,076.50;6,090.80;5,960.30;5,965.70;5,965.70;1,555,514,800
Feb 27, 2008;6,087.40;6,104.50;5,989.00;6,076.50;6,076.50;1,508,230,000
Feb 26, 2008;5,999.50;6,092.50;5,991.60;6,087.40;6,087.40;1,283,573,200
Feb 25, 2008;5,888.50;6,011.70;5,888.50;5,999.50;5,999.50;1,211,085,100
Feb 22, 2008;5,932.20;5,970.90;5,863.80;5,888.50;5,888.50;1,249,304,500
Feb 21, 2008;5,893.60;6,004.40;5,893.60;5,932.20;5,932.20;1,304,872,400
Feb 20, 2008;5,966.90;5,966.90;5,847.40;5,893.60;5,893.60;1,480,551,900
Feb 19, 2008;5,946.60;6,033.70;5,884.80;5,966.90;5,966.90;1,309,517,400
Feb 18, 2008;5,787.60;5,951.90;5,787.60;5,946.60;5,946.60;927,279,200
Feb 15, 2008;5,879.30;5,915.00;5,763.50;5,787.60;5,787.60;1,286,214,100
Feb 14, 2008;5,880.10;5,938.50;5,859.40;5,879.30;5,879.30;1,312,840,500
Feb 13, 2008;5,910.00;5,915.00;5,814.80;5,880.10;5,880.10;1,282,472,300
Feb 12, 2008;5,707.70;5,910.00;5,707.70;5,910.00;5,910.00;1,473,528,100
Feb 11, 2008;5,784.00;5,789.60;5,681.50;5,707.70;5,707.70;1,130,377,400
Feb 08, 2008;5,724.10;5,805.30;5,703.10;5,784.00;5,784.00;1,253,695,300
Feb 07, 2008;5,875.40;5,875.40;5,708.80;5,724.10;5,724.10;1,650,915,000
Feb 06, 2008;5,868.00;5,892.60;5,816.40;5,875.40;5,875.40;1,316,366,700
Feb 05, 2008;6,026.20;6,026.20;5,852.80;5,868.00;5,868.00;1,421,468,900
Feb 04, 2008;6,029.20;6,071.30;6,000.20;6,026.20;6,026.20;1,102,822,400
Feb 01, 2008;5,879.80;6,044.90;5,879.80;6,029.20;6,029.20;1,791,034,100
Jan 31, 2008;5,837.30;5,899.50;5,689.40;5,879.80;5,879.80;1,888,867,600
Jan 30, 2008;5,885.20;5,885.20;5,818.60;5,837.30;5,837.30;1,122,769,500
Jan 29, 2008;5,788.90;5,885.20;5,788.90;5,885.20;5,885.20;1,144,122,500
Jan 28, 2008;5,869.00;5,869.00;5,705.10;5,788.90;5,788.90;1,232,833,300
Jan 25, 2008;5,875.80;5,973.30;5,848.50;5,869.00;5,869.00;1,647,164,500
Jan 24, 2008;5,609.30;5,882.30;5,609.30;5,875.80;5,875.80;2,129,111,100
Jan 23, 2008;5,740.10;5,844.90;5,518.30;5,609.40;5,609.40;2,146,010,500
Jan 22, 2008;5,578.20;5,764.00;5,338.70;5,740.10;5,740.10;2,146,910,000
Jan 21, 2008;5,901.70;5,901.70;5,571.00;5,578.20;5,578.20;2,105,408,800
Jan 18, 2008;5,902.40;6,030.90;5,856.80;5,901.70;5,901.70;2,001,710,300
Jan 17, 2008;5,942.90;6,028.40;5,895.40;5,902.40;5,902.40;1,696,753,100
Jan 16, 2008;6,025.60;6,031.50;5,908.50;5,942.90;5,942.90;1,889,642,300
Jan 15, 2008;6,215.70;6,215.70;6,025.60;6,025.60;6,025.60;1,633,314,500
Jan 14, 2008;6,202.00;6,247.30;6,173.00;6,215.70;6,215.70;1,141,689,600
Jan 11, 2008;6,222.70;6,251.80;6,147.00;6,202.00;6,202.00;1,584,489,000
Jan 10, 2008;6,272.70;6,314.50;6,213.00;6,222.70;6,222.70;1,561,550,500
Jan 09, 2008;6,356.50;6,356.50;6,241.80;6,272.70;6,272.70;1,823,908,900
Jan 08, 2008;6,335.70;6,399.60;6,335.70;6,356.50;6,356.50;1,418,323,100
Jan 07, 2008;6,348.50;6,376.50;6,275.20;6,335.70;6,335.70;1,298,090,800
Jan 04, 2008;6,479.40;6,534.70;6,333.20;6,348.50;6,348.50;1,182,498,500
Jan 03, 2008;6,416.70;6,487.80;6,394.60;6,479.40;6,479.40;932,411,700
Jan 02, 2008;6,456.90;6,512.30;6,402.60;6,416.70;6,416.70;674,073,300
Dec 31, 2007;-;-;-;-;-;-
Dec 28, 2007;6,497.80;6,497.80;6,436.80;6,476.90;6,476.90;419,742,800
Dec 27, 2007;6,479.30;6,504.70;6,468.40;6,497.80;6,497.80;481,185,200
Dec 24, 2007;-;-;-;-;-;-
Dec 21, 2007;6,345.60;6,451.80;6,345.60;6,434.10;6,434.10;1,557,130,900
Dec 20, 2007;6,284.50;6,367.70;6,284.50;6,345.60;6,345.60;1,146,323,000
Dec 19, 2007;6,279.30;6,319.10;6,251.80;6,284.50;6,284.50;1,065,834,600
Dec 18, 2007;6,277.80;6,344.30;6,254.50;6,279.30;6,279.30;1,171,365,900
Dec 17, 2007;6,397.00;6,397.00;6,264.30;6,277.80;6,277.80;1,137,995,000
Dec 14, 2007;6,364.20;6,426.20;6,336.70;6,397.00;6,397.00;975,937,300
Dec 13, 2007;6,559.80;6,559.80;6,364.20;6,364.20;6,364.20;1,406,047,800
